Code.essai;Date;Observateurs;Scribe;Stade.phenologique;Maladie;Organe;Placette;Bloc;X.;Valeur
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;1;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;2;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;3;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;4;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;5;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;6;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;7;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;8;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;9;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;10;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;11;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;12;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;13;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;14;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;15;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;16;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;17;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;18;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;19;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;20;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;21;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;22;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;23;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;24;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;25;6
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;26;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;27;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;28;16
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;29;6
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;30;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;31;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;32;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;33;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;34;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;35;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;36;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;37;7
