plot_id;PM_LEAF_PC;bbch_stage;observation_date
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;10;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;10;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;10;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;10;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;2;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;2;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;20;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;20;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;10;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;10;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;1;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;2;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;20;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;2;BBCH 77;25/06/2024
A10;20;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;1;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;10;BBCH 77;25/06/2024
A10;2;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;2;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;5;BBCH 77;25/06/2024
A10;10;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;2;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
A10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;1;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;10;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;2;BBCH 77;25/06/2024
B10;10;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;2;BBCH 77;25/06/2024
B10;2;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;10;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;10;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;2;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;10;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;2;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;2;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;10;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;1;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;2;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;2;BBCH 77;25/06/2024
B10;10;BBCH 77;25/06/2024
B10;10;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;5;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;10;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
B10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;2;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;2;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;20;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;20;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;2;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;1;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;20;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;5;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;10;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
C10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;1;BBCH 77;25/06/2024
D10;10;BBCH 77;25/06/2024
D10;10;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;2;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;40;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;10;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;20;BBCH 77;25/06/2024
D10;1;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;10;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;20;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;10;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;20;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;20;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;5;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
D10;0;BBCH 77;25/06/2024
