"plot_id";"PM_LEAF_PC";"bbch_stage";"observation_date"
"10A";1;"BBCH 69";"2024-06-05"
"10A";3;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";3;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10A";3;"BBCH 69";"2024-06-05"
"10A";3;"BBCH 69";"2024-06-05"
"10A";6;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";16;"BBCH 69";"2024-06-05"
"10A";6;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10A";4;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";7;"BBCH 69";"2024-06-05"
"10A";4;"BBCH 69";"2024-06-05"
"10A";3;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10A";4;"BBCH 69";"2024-06-05"
"10A";1;"BBCH 69";"2024-06-05"
"10A";2;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";4;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";3;"BBCH 69";"2024-06-05"
"10B";2;"BBCH 69";"2024-06-05"
"10B";1;"BBCH 69";"2024-06-05"
"10C";4;"BBCH 69";"2024-06-05"
"10C";4;"BBCH 69";"2024-06-05"
"10C";2;"BBCH 69";"2024-06-05"
"10C";3;"BBCH 69";"2024-06-05"
"10C";3;"BBCH 69";"2024-06-05"
"10C";9;"BBCH 69";"2024-06-05"
"10C";3;"BBCH 69";"2024-06-05"
"10C";2;"BBCH 69";"2024-06-05"
"10C";3;"BBCH 69";"2024-06-05"
"10C";2;"BBCH 69";"2024-06-05"
"10C";2;"BBCH 69";"2024-06-05"
"10C";2;"BBCH 69";"2024-06-05"
"10C";1;"BBCH 69";"2024-06-05"
"10C";7;"BBCH 69";"2024-06-05"
"10C";1;"BBCH 69";"2024-06-05"
"10C";1;"BBCH 69";"2024-06-05"
"10C";4;"BBCH 69";"2024-06-05"
"10C";3;"BBCH 69";"2024-06-05"
"10C";2;"BBCH 69";"2024-06-05"
"10C";4;"BBCH 69";"2024-06-05"
"10C";1;"BBCH 69";"2024-06-05"
"10C";5;"BBCH 69";"2024-06-05"
"10C";3;"BBCH 69";"2024-06-05"
"10C";3;"BBCH 69";"2024-06-05"
"10C";4;"BBCH 69";"2024-06-05"
"10C";12;"BBCH 69";"2024-06-05"
"10C";5;"BBCH 69";"2024-06-05"
"10C";3;"BBCH 69";"2024-06-05"
"10C";2;"BBCH 69";"2024-06-05"
"10C";3;"BBCH 69";"2024-06-05"
