plot_id;PM_BER_PC;bbch_stage;observation_date
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;50;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;2;BBCH 89;28/08/2024
10A;100;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;80;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;2;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;2;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;30;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;30;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;40;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;5;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;30;BBCH 89;28/08/2024
10B;40;BBCH 89;28/08/2024
10B;5;BBCH 89;28/08/2024
10B;100;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;40;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;50;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;50;BBCH 89;28/08/2024
10B;5;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
